Region,R34,R37,R38,R44,R2,R42,R63
Region,R34,R37,R38,R44,R2,R42,R63
AON,0,1,0,0,0,0,0
ACB,0,3,0,0,0,0,5
CP,5,23,0,0,0,0,6
FS,0,1,0,0,0,0,0
LS,0,4,0,0,2,3,2
OT,0,0,0,0,1,0,0
BST,2,7,4,0,8,24,17
GPe,0,1,0,0,0,0,0
GPi,0,0,0,0,1,0,0
NDB,3,2,0,0,2,2,0
SI,0,3,1,0,0,1,1
CEA,0,1,1,0,0,0,0
MEAav,0,0,0,0,0,1,0
CM,1,0,0,0,0,0,0
IMD,2,0,0,0,0,0,0
LH,2,12,3,0,0,0,0
MD,1,0,0,1,0,1,1
MH,7,0,0,3,0,0,0
PF,0,0,0,1,0,2,0
PR,4,0,12,0,0,4,0
PVT,1,0,0,0,0,2,0
RE,2,1,0,1,0,14,0
RT,1,0,0,0,0,0,0
SMT,1,0,0,0,0,2,1
SPA,1,0,0,0,0,0,0
SPFm,0,0,0,0,0,16,1
SPFp,0,0,0,0,0,1,3
VM,1,1,1,0,0,8,0
AHN,4,23,3,1,25,44,61
ARH,1143,1429,981,282,416,2208,1306
AVPV,33,34,13,0,36,143,28
DMH,692,260,430,62,43,550,573
HY?,21,12,35,0,47,47,41
LHA,58,55,9,7,40,115,113
LPO,2,1,1,0,0,0,2
MEPO,2,2,0,0,1,2,6
MM,0,13,6,0,0,57,55
MPN,4,9,1,0,10,24,9
MPO,10,27,9,0,4,25,9
OV,7,0,1,0,0,20,4
PH,97,19,42,0,13,133,41
PMd,0,2,38,0,8,30,26
PMv,122,475,308,3,0,514,468
PSTN,0,0,0,0,1,0,1
PVa,4,6,5,0,37,57,20
PVH,248,292,82,23,394,757,528
PVi,164,167,124,47,10,189,255
PVp,51,66,83,9,211,370,565
PVpo,19,37,9,6,33,100,55
RCH,3,8,10,1,3,21,22
SBPV,8,2,0,0,3,4,24
SCH,3,13,9,3,18,23,31
SO,21,31,9,1,171,201,197
STN,0,4,0,0,1,0,0
SUMl,2,3,4,1,4,17,35
SUMm,2,5,7,1,6,20,7
TM,15,20,7,0,0,34,42
TU,133,225,80,25,194,439,514
VLPO,0,0,1,12,0,1,0
VMH,69,239,232,15,35,270,224
ZI,12,3,6,0,3,12,10
CLI,0,1,0,0,0,0,0
DR,0,0,0,0,0,0,2
IPN,0,1,0,0,0,0,0
MRN,0,0,0,0,2,0,2
PAG,1,1,0,0,2,2,4
RL,0,0,0,0,0,0,1
SNc,0,0,0,0,1,0,0
SNr,0,0,0,0,0,3,3
VTA,0,0,0,0,0,8,66
MARN,0,0,0,0,0,1,0
PB,0,0,0,0,3,0,0
